ID_PROD,NAME_PROD,DETAIL,UNIT,AMOUNT,COST
1,Producto1,Descripción1,Unidad1,100,50.00
2,Producto2,Descripción2,Unidad2,150,75.50
3,Producto3,Descripción3,Unidad3,200,100.00
4,Producto4,Descripción4,Unidad4,120,60.80
5,Producto5,Descripción5,Unidad5,180,90.25
6,Producto6,Descripción6,Unidad6,90,45.75
7,Producto7,Descripción7,Unidad7,220,110.50
8,Producto8,Descripción8,Unidad8,130,65.25
9,Producto9,Descripción9,Unidad9,170,85.75
10,Producto10,Descripción10,Unidad10,110,55.00
11,Producto11,Descripción11,Unidad11,250,125.00
12,Producto12,Descripción12,Unidad12,80,40.00
13,Producto13,Descripción13,Unidad13,160,80.50
14,Producto14,Descripción14,Unidad14,190,95.25
15,Producto15,Descripción15,Unidad15,140,70.00
16,Producto16,Descripción16,Unidad16,200,100.00
17,Producto17,Descripción17,Unidad17,120,60.80
18,Producto18,Descripción18,Unidad18,90,45.75
19,Producto19,Descripción19,Unidad19,170,85.75
20,Producto20,Descripción20,Unidad20,110,55.00
21,Producto21,Descripción21,Unidad21,250,125.00
22,Producto22,Descripción22,Unidad22,80,40.00
23,Producto23,Descripción23,Unidad23,160,80.50
24,Producto24,Descripción24,Unidad24,190,95.25
25,Producto25,Descripción25,Unidad25,140,70.00
26,Producto26,Descripción26,Unidad26,200,100.00
27,Producto27,Descripción27,Unidad27,120,60.80
28,Producto28,Descripción28,Unidad28,90,45.75
29,Producto29,Descripción29,Unidad29,170,85.75
30,Producto30,Descripción30,Unidad30,110,55.00
31,Producto31,Descripción31,Unidad31,250,125.00
32,Producto32,Descripción32,Unidad32,80,40.00
33,Producto33,Descripción33,Unidad33,160,80.50
34,Producto34,Descripción34,Unidad34,190,95.25
35,Producto35,Descripción35,Unidad35,140,70.00
36,Producto36,Descripción36,Unidad36,200,100.00
37,Producto37,Descripción37,Unidad37,120,60.80
38,Producto38,Descripción38,Unidad38,90,45.75
39,Producto39,Descripción39,Unidad39,170,85.75
40,Producto40,Descripción40,Unidad40,110,55.00
41,Producto41,Descripción41,Unidad41,250,125.00
42,Producto42,Descripción42,Unidad42,80,40.00
43,Producto43,Descripción43,Unidad43,160,80.50
44,Producto44,Descripción44,Unidad44,190,95.25
45,Producto45,Descripción45,Unidad45,140,70.00
46,Producto46,Descripción46,Unidad46,200,100.00
47,Producto47,Descripción47,Unidad47,120,60.80
48,Producto48,Descripción48,Unidad48,90,45.75
49,Producto49,Descripción49,Unidad49,170,85.75
50,Producto50,Descripción50,Unidad50,110,55.00
51,Producto51,Descripción51,Unidad51,250,125.00
52,Producto52,Descripción52,Unidad52,80,40.00
53,Producto53,Descripción53,Unidad53,160,80.50
54,Producto54,Descripción54,Unidad54,190,95.25
55,Producto55,Descripción55,Unidad55,140,70.00
56,Producto56,Descripción56,Unidad56,200,100.00
57,Producto57,Descripción57,Unidad57,120,60.80
58,Producto58,Descripción58,Unidad58,90,45.75
59,Producto59,Descripción59,Unidad59,170,85.75
60,Producto60,Descripción60,Unidad60,110,55.00
61,Producto61,Descripción61,Unidad61,250,125.00
62,Producto62,Descripción62,Unidad62,80,40.00
63,Producto63,Descripción63,Unidad63,160,80.50
64,Producto64,Descripción64,Unidad64,190,95.25
65,Producto65,Descripción65,Unidad65,140,70.00
66,Producto66,Descripción66,Unidad66,200,100.00
67,Producto67,Descripción67,Unidad67,120,60.80
68,Producto68,Descripción68,Unidad68,90,45.75
69,Producto69,Descripción69,Unidad69,170,85.75
70,Producto70,Descripción70,Unidad70,110,55.00
71,Producto71,Descripción71,Unidad71,250,125.00
72,Producto72,Descripción72,Unidad72,80,40.00
73,Producto73,Descripción73,Unidad73,160,80.50
74,Producto74,Descripción74,Unidad74,190,95.25
75,Producto75,Descripción75,Unidad75,140,70.00
